model,mse,mae,rmse,accuracy,precision,recall,f1,iou,damage_mae,loss
lstm,0.016300193965435028,0.08759584277868271,0.1276722103357315,0.5166666666651011,0.19399249061205262,0.5024311183062815,0.2799097025245031,0.1627296587917967,0.25184813141822815,0.016290631890296937
pinn,0.22795161604881287,0.47084078192710876,0.47744280099868774,0.1869696969691304,0.1869696969691304,0.9999999999837925,0.3150370154703799,0.1869696969691304,0.31876954436302185,0.5534462213516236
