model,mse,mae,rmse,accuracy,precision,recall,specificity,balanced_accuracy,f1,iou,damage_mae,loss
gt,0.015870999544858932,0.08846841007471085,0.12598015367984772,0.44969696969669715,0.19142450721378637,0.626746506983943,0.4102564102561062,0.5185014586200246,0.2932752143477734,0.17183509667988703,0.24675466120243073,0.015872939412171643
pinn,0.23272500932216644,0.4704819917678833,0.4824157953262329,0.18218181818170776,0.18218181818170776,0.9999999999966733,0.0,0.49999999999833666,0.30821285497481365,0.18218181818170776,0.266867458820343,0.5580174922943115
